gene,baseMean,fc,log2FoldChange,lfcSE,stat,pvalue,padj,treated1,treated2,treated3,untreated1,untreated2,untreated3,untreated4
FBgn0000008,95.14429175758893,1.001579154370301,0.002276441225472081,0.22372865161848032,0.010175009812127449,0.9918816568482545,0.9972107666709168,7.607916913893934,7.834912024157771,7.595051519967296,7.5672977250225415,7.642173605207865,7.844602817522311,7.669147451124943
FBgn0000017,4352.553568766465,0.8467928872870536,-0.23991894353759807,0.12633690540435075,-1.8990408445554328,0.057559105908210256,0.2880017114129613,11.938311011815347,12.0245572720332,12.013565101780122,12.045721143297792,12.28464685254825,12.455938829603104,12.077404241373353
FBgn0000018,418.6104841596499,0.9300151274049193,-0.10467391194135592,0.14848905978000976,-0.7049267609104194,0.4808558153531174,0.826833683766348,9.143372238807682,9.01150539890942,8.944883055480146,9.31526880559357,9.098289560544188,8.966546013600412,9.066285942828667
FBgn0000024,6.406199980976003,1.1573681051320028,0.21084779183190366,0.6895875531676615,0.3057592772134035,0.7597879364883842,0.9435011145148523,6.479135189030221,6.57724027749216,6.475226389133122,6.565255616592194,6.479802317265618,6.422195715491685,6.395509369008339
FBgn0000032,989.7202168137613,0.9383590291975196,-0.09178807135890053,0.14775184658937657,-0.6212312974604822,0.534447449739762,0.8542018443183372,10.18760566378522,10.024965335519108,10.017728083126148,10.450059818989454,10.080549511798974,10.069559096978002,9.996553570090256
FBgn0000037,14.094636246115336,1.3784278064743523,0.46302370988068237,0.4904967677413887,0.9439893192625659,0.34517510630418863,0.744253297127709,6.658193042776538,6.7950301181064265,6.8344776764834645,6.68130102947365,6.699237561196346,6.697338290178965,6.497847011711852
FBgn0000042,82207.57709608448,1.243690360575041,0.3146273449000279,0.1406350089751268,2.237190776271604,0.02527387394945884,0.16674686976580544,16.251290711242643,16.61111122243641,16.609772135098225,16.448646203223927,16.03465478468352,16.110900694129914,16.11380861899031
FBgn0000043,31162.162447063296,1.5365344397499656,0.6196801037350739,0.12365535473070438,5.011348720681026,5.404986529587399e-7,1.8718674423335534e-5,15.070171175505084,15.337656409032071,15.336566358803678,14.847172496567843,14.49292498724326,14.596731314952375,14.583988013725318
FBgn0000044,27.013748233159156,1.3333216981963274,0.41502490975806966,0.41301523153503966,1.004865869511787,0.3149614409628545,0.7202375128809717,7.127481851325924,7.095799826537118,6.811347614343192,6.796157920485354,7.07275369569907,6.883567281010591,6.772724189204401
FBgn0000045,6.497486552423841,1.1116267220887752,0.15267242061691505,0.7121474588577775,0.21438315719301773,0.8302482749573616,0.962034210683914,6.5585828060126765,6.447405272558122,6.516295434609854,6.538634040891418,6.55266564704397,6.261602312703855,6.497847011711852
FBgn0000046,23.68646384282681,1.5202033614709947,0.6042643295643662,0.4587329855590413,1.3172463035941726,0.18775607764385405,0.570552460744431,7.033570573985824,7.148360056201952,6.736915125808207,6.614650996788066,6.964069569953741,6.82684601958006,6.799729188883039
FBgn0000047,9.274318190129273,1.6046255973697225,0.682236716768903,0.6555931613332701,1.040640380356391,0.2980424828553861,0.7040287623480809,6.806217800793162,6.6480287374206934,6.429697966523592,6.480376678371367,6.645125513718396,6.480710636989202,6.449978080576003
FBgn0000052,2342.8802863387555,0.9104124234372833,-0.13540785017227294,0.13693532395506564,-0.9888452903263009,0.3227388414241631,0.725184315662989,11.013493145624569,11.316924492736707,11.244469037017419,11.445230673824858,11.056385903100534,11.361128165614332,11.407583330251464
FBgn0000053,2100.289815697147,1.2278605041630781,0.29614666707323234,0.13749143004892114,2.1539281900541707,0.03124580384057092,0.19226951687799185,11.053925767671895,11.397165493798822,11.352516980196912,11.042244530736692,10.761625520477823,11.037536924245439,11.119777223900847
FBgn0000054,654.2844551908736,0.9203112688643936,-0.11980620100398155,0.11916387243317693,-1.0053902962172099,0.3147089505971762,0.7200588902415872,9.511484021137418,9.550609587224246,9.58606333355736,9.785096304753079,9.54174801286142,9.664494353443196,9.59879329156609
FBgn0000057,682.6462760961443,0.9839014151548875,-0.023414327079329562,0.12218149747074196,-0.1916356204828513,0.848027638491905,0.9641320358894172,9.498016631864356,9.736563764262495,9.703696741877591,9.703349082973912,9.577196625516923,9.664494353443196,9.720596680047091
FBgn0000063,404.7680195786468,1.1533133150987462,0.2057844962809561,0.1304623941850428,1.5773472314871009,0.11471565014851001,0.43562839324633545,9.163780620505719,9.153384998011767,9.094119694438788,9.062654352536926,9.054426351291921,8.848730057100237,8.908659333134597
FBgn0000064,7917.164775876601,1.230837237875969,0.29963999688802506,0.10416716831969063,2.8765301171327358,0.0040207382439187405,0.04165365540455249,12.987510319436657,13.175167204253912,13.23255979340477,12.763120747182574,12.778911857378272,12.93727220075761,12.876395519939448
FBgn0000071,342.2464877254555,6.40733832160393,2.6797251699954994,0.18241747212596957,14.690068548614674,7.463825624016641e-49,6.95048028387594e-46,9.491852582494326,9.641852248744394,9.714112759298425,7.48861978530002,7.774480866502903,7.82336341665904,7.880910657959253
FBgn0000077,224.1975610540006,0.9620516383122452,-0.05581376187166703,0.15709981559909794,-0.35527579493853656,0.7223829870514029,0.9297450880664287,8.34160269325947,8.396217998990526,8.471185015992113,8.522162713571486,8.39591681529107,8.284483702996896,8.531871074686165
FBgn0000078,29.01594761973037,0.4930141244022477,-1.0202991158030774,0.3961519874348784,-2.5755244152872,0.010008820674857172,0.08542151331565984,6.642796204076006,6.869919569990458,6.856889400699889,7.035007107666036,6.955094010417654,7.118962422084764,7.25266230638751
FBgn0000079,159.51780339229288,0.4772661583624491,-1.067134052428919,0.35170988861333935,-3.034131501494683,0.0024122925562577125,0.027506699202715496,7.263179871569273,7.816668004948021,7.943695964802902,7.913493387670721,8.002341733951637,8.703653975068063,8.558388030811201
FBgn0000083,5442.6368322039425,0.994331147834213,-0.008201694029131575,0.13468503844321583,-0.06089536093936274,0.9514425440253593,0.9903966226381228,12.18316777487863,12.536273320352683,12.569428287750304,12.46031733497332,12.246909323190708,12.471669413613137,12.591082817806884
